Date,Page Views,Visitors,Registrations
2023-10-14,2,1,0
2023-10-15,0,0,0
2023-10-16,1,1,1
2023-10-17,0,0,0
2023-10-18,1,1,0
2023-10-19,4,3,1
2023-10-20,2,2,0
2023-10-21,1,1,0
2023-10-22,0,0,0
2023-10-23,5,4,2
2023-10-24,7,4,2
2023-10-25,3,2,1
2023-10-26,1,1,1
2023-10-27,4,2,0
2023-10-28,2,2,0
2023-10-29,3,3,0
2023-10-30,2,2,0
2023-10-31,3,3,2
2023-11-01,4,4,1
2023-11-02,3,3,0
2023-11-03,46,36,19
2023-11-04,26,23,12
2023-11-05,93,87,14
2023-11-06,66,52,14
2023-11-07,21,19,3
2023-11-08,24,22,6
2023-11-09,37,28,15
2023-11-10,15,12,3
2023-11-11,7,6,2
2023-11-12,31,29,10
2023-11-13,37,29,13
2023-11-14,60,45,17
2023-11-15,131,109,41
